"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"22934","2014-05-02T16:01:00","-1.96","116.73",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"307",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T17:01:00","-1.95","116.73",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"307",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9HA3569","2014-05-02T18:00:00","-6.70","114.40",,,"1","6","0","0","7","3",,"1",,"0","90","3","57",,"98","2","0","10115","8","5","0","260","0","240",,"232",,,"4","2","4",,"5","4","5","4","1",,,,"333","64","992","114","5","1","2","1","F11111","111111111A11A1",,,,,"1","0",,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T18:01:00","-1.94","116.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T19:01:00","-1.93","116.72",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T20:01:00","-1.92","116.71",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"22934","2014-05-02T21:01:00","-1.91","116.70",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"306",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"OVSB2","2014-05-02T22:00:00","-4.50","112.10",,,"1","6","0","0","2","4","1","1",,"0","100","3","41",,"98","13","0","10097","5","3","0","290","0","256",,"241","3","307","5","4","9",,"2","7","3","1","1",,,,"333","42","992","114","5","1","2","1","111111","111111111111A1",,,,,"1","0",,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T22:01:00","-1.90","116.69",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"305",,,,,,,,,,,,,"333","16","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
"9V6346","2014-05-02T23:00:00","-9.70","115.80",,,"1","6","0","0","7","2",,"1",,"0","110","4","72",,"98","2","1","10120","4","0","0","300","0","270",,"260","1","300","5","5","4",,"7","9","A","4","2","23",,,"333","95","992","114","5","1","2","2","111111","11111111111171",,,,,"1","1",,,,,,,,,,,,"4",,,,,,,,,,
"22934","2014-05-02T23:01:00","-1.89","116.68",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"305",,,,,,,,,,,,,"333","16","714","63","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,,,,,,,,,,,,,
