"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","SOURCE_EXCLUSION_FLAG","OB_SOURCE","STA_WX_IND","PAST_WX2","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP"
"A8UT6","2015-04-02T00:00:00","-5.20","112.20",,,"1","4","0","0","7","2",,"1","0","320","3","31",,"3",,"10100","0",,"0","270","0","260",,"256","1",,,,"7","A","1","3",,,,,,"333","52","992","114","5","1","2","2","611111","11A1A111118AA7",,,"1",,,,,,,,,,,,,"4"
"OZCZ2","2015-04-02T00:00:00","-5.10","113.70",,,"1","4","0","0","6","4","1","1","0","40","4","31","97","2","0","10088","3","3","0","290","0","255",,"240","1","290","6","6","2","5","7","6","1","2",,,,"333","53","992","114","5","1","2","2","111111","111111111111A1",,,"1","0",,,,,,,,,,,,"4"
"VRDE7","2015-04-02T00:00:00","-6.50","116.50",,,"1","4","0","0","3","3",,"1","0","90","4","26","98","2","0","10102","0","2","0","280","0","240",,"224","1","280","3","3","9","4","0","0","5","1",,,,"333","66","992","114","5","1","2","2","111111","111111111111A1",,,"1","2",,,,,,,,,,,,"4"
"2200617","2015-04-02T00:01:00","-6.92","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T00:01:00","-5.38","112.77",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T01:01:00","-6.93","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T01:01:00","-5.39","112.78",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T02:01:00","-6.95","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T02:01:00","-5.40","112.79",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T03:01:00","-6.97","116.31",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","303",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T03:01:00","-5.41","112.80",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","298",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T04:01:00","-6.99","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,"333","66","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T04:01:00","-5.42","112.81",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","299",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T05:01:00","-7.00","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","304",,,,,,,,,,,,"333","76","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T05:01:00","-5.43","112.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"A8UT6","2015-04-02T06:00:00","-4.80","111.50",,,"1","4","0","0","6","2",,"1","0","320","3","26","98","3","2","10090","8","30","0","300","0","270",,"258","1","300",,,"4","6","4","0",,,,,,"333","41","992","114","5","1","2","2","111111","11111111118AA1",,,"1","2",,,,,,,,,,,,"4"
"TBWUK64","2015-04-02T06:00:00","-9.50","115.80",,,"1","4","0","0","8","2",,"1","0","80","4","31","98","3","0","10075",,,"0","320","0","285",,"272",,"315","3","2","2","5","2","0","2","2",,,,"333","95","992","114","5","1","2","2","131111","111111111111AA",,,"1","0",,,,,,,,,,,,"4"
"2200617","2015-04-02T06:01:00","-7.02","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","76","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T06:01:00","-5.44","112.82",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T07:01:00","-7.03","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","76","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T07:01:00","-5.45","112.83",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200617","2015-04-02T08:01:00","-7.05","116.32",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","301",,,,,,,,,,,,"333","76","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
"2200620","2015-04-02T08:01:00","-5.45","112.84",,,"1","4","2","5",,,,"11",,,,,,,,,,,"8",,,,,,"9","302",,,,,,,,,,,,"333","52","798","172","7","0",,"2","1FFFFF","1AAAAAAAA1AAAA","4",,,,,,,,,,,,,,,
